query,doc_title,relevant
Amazon,A360media,0
Amazon,Ality,0
Amazon,Amazons,2
Amazon,Artists Against 419,0
Amazon,Baesweiler,0
Amazon,Bookland (disambiguation),0
Amazon,Conundrum Press,0
Amazon,Disney's Beauty and the Beast: A Board Game Adventure,0
Amazon,Kolahun District,0
Amazon,Noli,0
Amazon,Omega Boost,0
Amazon,Oxford Text Archive,0
Amazon,ProFlowers,0
Amazon,Ralph Willard,0
Amazon,Red-crowned amazon,2
Amazon,Reuven Feuerstein,0
Amazon,Salome Clausen,0
Amazon,Ten Worlds,0
Amazon,Theosophical Society in America (Hargrove),0
Amazon,World Series of Darts (2006 tournament),0
Byzantine fault tolerance distributed systems,Actor model later history,0
Byzantine fault tolerance distributed systems,Actor model middle history,0
Byzantine fault tolerance distributed systems,Andrew S. Tanenbaum,0
Byzantine fault tolerance distributed systems,Apache HTTP Server,0
Byzantine fault tolerance distributed systems,Asynchronous Transfer Mode,0
Byzantine fault tolerance distributed systems,BeOS,0
Byzantine fault tolerance distributed systems,Bulletin board system,0
Byzantine fault tolerance distributed systems,Content-addressable storage,0
Byzantine fault tolerance distributed systems,Eynesil,0
Byzantine fault tolerance distributed systems,Fault Simulator,2
Byzantine fault tolerance distributed systems,Frank Moss (technologist),0
Byzantine fault tolerance distributed systems,Great Sumatran fault,2
Byzantine fault tolerance distributed systems,IBM AIX,1
Byzantine fault tolerance distributed systems,List of Namco games,0
Byzantine fault tolerance distributed systems,Marabunta (software),1
Byzantine fault tolerance distributed systems,PODSnet,0
Byzantine fault tolerance distributed systems,Saudi Payments Network,0
Byzantine fault tolerance distributed systems,Seqlock,0
Byzantine fault tolerance distributed systems,System Contention Scope,1
Byzantine fault tolerance distributed systems,Two Generals' Problem,0
Byzantine fault tolerance distributed systems,UnixWorld,1
Byzantine fault tolerance distributed systems,Zero-suppressed decision diagram,0
Byzantine fault tolerance distributed systems,École nationale supérieure d'informatique et de mathématiques appliquées de Grenoble,0
Capital city of Australia,Abakan,1
Capital city of Australia,Abydos (Hellespont),1
Capital city of Australia,Adelaide,1
Capital city of Australia,"Ann Arbor, Michigan",1
