query,method,rank,doc_title,doc_index,doc_text_snippet,bm25_score,dense_score,hybrid_score,relevance_type
When was the Eiffel Tower constructed and by whom,bm25_only,1,"Middle Park, Queensland",2899,"middle park is a residential south-western suburb in the centenary suburbs in the city of brisbane, queensland, australia. in the , middle park had a population of 3,955 people.  geography middle park",1.0,0.42815837264060974,1.0,not_relevant
When was the Eiffel Tower constructed and by whom,bm25_only,2,HM Prison Low Newton,6559,"hm prison low newton is a closed prison for female adults and young offenders in brasside, county durham, england. the prison, which is operated by his majesty's prison service, is next to hmp frankla",0.9955904921411971,0.2912569046020508,0.9955904921411971,not_relevant
When was the Eiffel Tower constructed and by whom,bm25_only,3,Abbey of Saint Peter in the Black Forest,7336,"st peter's abbey in the black forest or st. peter's abbey, schwarzwald () is a former benedictine monastery in the village of st. peter im schwarzwald, in the district of breisgau-hochschwarzwald, bad",0.9942114792856525,0.7466962337493896,0.9942114792856525,not_relevant
When was the Eiffel Tower constructed and by whom,bm25_only,4,Wickford Junction station,6355,"wickford junction station is a commuter rail station located in north kingstown, rhode island, united states. it is the southern terminus of the mbta commuter rail providence/stoughton line and serves",0.9915735759457901,0.3955666124820709,0.9915735759457901,not_relevant
When was the Eiffel Tower constructed and by whom,bm25_only,5,"Westlake, Queensland",2910,"westlake is a south-western suburb in the city of brisbane, queensland, australia. in the , westlake had a population of 4,368 people.  geography westlake adjoins the suburbs of riverhills, middle par",0.9873552120376471,0.49015411734580994,0.9873552120376471,not_relevant
When was the Eiffel Tower constructed and by whom,bm25_only,6,"Willerby, East Riding of Yorkshire",9917,"willerby is a village and civil parish located on the western outskirts of the city of kingston upon hull in the east riding of yorkshire, england.  willerby was a minor settlement up to the 20th cent",0.9825480642167669,0.5396584272384644,0.9825480642167669,not_relevant
When was the Eiffel Tower constructed and by whom,bm25_only,7,Birds Hill,5374,"birds hill is an unincorporated community in the canadian province of manitoba located a few kilometers northeast of winnipeg, manitoba, in the rural municipality of east st. paul. the community is a ",0.9761679565705151,0.5277138352394104,0.9761679565705151,not_relevant
When was the Eiffel Tower constructed and by whom,bm25_only,8,Aelia Capitolina,1080,"aelia capitolina (traditional english pronunciation: ; latin in full: ) was a roman colony founded during emperor hadrian's visit to judaea in 129/130 ad,  centered around jerusalem, which had been al",0.9760928200054657,0.5785338878631592,0.9760928200054657,not_relevant
When was the Eiffel Tower constructed and by whom,bm25_only,9,Babur,1990,"babur (; ; 14 february 148326 december 1530), born zahīr ud-dīn muhammad, was the founder of the mughal empire in the indian subcontinent. he was a descendant of timur and genghis khan through his fat",0.9746547560746145,0.549272894859314,0.9746547560746145,not_relevant
When was the Eiffel Tower constructed and by whom,bm25_only,10,Khmer architecture,2407,"khmer architecture (), also known as angkorian architecture (), is the architecture produced by the khmers during the angkor period of the khmer empire from approximately the later half of the 8th cen",0.9725087546425577,0.4617754817008972,0.9725087546425577,not_relevant
When was the Eiffel Tower constructed and by whom,dense_only,1,Heeze Castle,8857,"heeze castle () is situated in the netherlands, south of eindhoven. it used to be the centre of the seigneury of heeze, leende and zesgehuchten, part of the duchy of brabant. in the middle ages, it wa",0.7126415537739903,1.0,1.0,not_relevant
When was the Eiffel Tower constructed and by whom,dense_only,2,Buckingham Palace,1675,"buckingham palace () is a royal residence in london and the administrative headquarters of the monarch of the united kingdom. located in the city of westminster, the palace is often at the centre of s",0.8840681012366164,0.9248303174972534,0.9248303174972534,not_relevant
